N,P,K,temperature,humidity,ph,rainfall,label,crop_failure_risk,crop_encoded
0.07142857142857142,0.0,0.0,0.341556439262743,0.899481211694012,0.671668778976803,0.33293813568864605,orange,0,16
0.19999999999999998,0.37857142857142856,0.38,0.23042391841910131,0.02666061462499042,0.41667707430764533,0.2623662953034893,chickpea,0,3
0.19999999999999998,0.4357142857142857,0.09,0.35127285824209115,0.11662236933878989,0.3879816871745021,0.36064433540640467,kidneybeans,0,9
0.8571428571428571,0.14285714285714285,0.225,0.5449544691097281,0.9398830376190744,0.439535271590777,0.00535111888015935,muskmelon,1,15
0.1357142857142857,0.15000000000000002,0.12,0.5115629769185994,0.9863970358000725,0.337430580235788,0.525561541045805,coconut,1,4
0.12142857142857143,0.04285714285714286,0.135,0.5653360413175046,0.9233203029105231,0.32951719508941824,0.4903127924422188,coconut,1,4
0.12142857142857143,0.44285714285714284,0.065,0.6390409287262158,0.49247633276188885,0.3280809458512336,0.3912394405648631,pigeonpeas,1,18
0.15714285714285714,0.04285714285714286,0.12,0.5443369285480837,0.9422156670687861,0.3816874458112035,0.7104438695554393,coconut,1,4
0.22857142857142856,0.8857142857142857,0.9800000000000001,0.1973495564361687,0.8020751133224318,0.46450403594877065,0.18402812319186646,grapes,1,7
0.8571428571428571,0.10714285714285714,0.14500000000000002,0.411616235713457,0.42357864081077723,0.5296883084505442,0.3954696567810503,coffee,0,5
0.05714285714285714,0.2285714285714286,0.14,0.5456516162060976,0.47492158501053416,0.40853878283075695,0.2771160868406464,mango,1,12
0.17142857142857143,0.2785714285714286,0.060000000000000005,0.598620496292031,0.767427064549497,0.4923534849277471,0.1089318908220117,mungbean,1,14
0.6071428571428571,0.34285714285714286,0.165,0.45119138478525395,0.6951711052581946,0.4801501535544026,0.4800109131921012,jute,0,8
0.14285714285714285,0.45,0.09,0.47048167274494773,0.5798112703016156,0.6544586721793095,0.15392891852731455,blackgram,1,2
0.7857142857142857,0.06428571428571428,0.23,0.5143198995836875,0.9031433331934932,0.40188561265559064,0.003236297903516344,muskmelon,1,15
0.25,0.32857142857142857,0.060000000000000005,0.5670948419600732,0.4151635805548586,0.008420283112199778,0.07367120031068476,mothbeans,1,13
0.6357142857142857,0.14285714285714285,0.14500000000000002,0.3970291927396496,0.5763619996111292,0.5730860779606164,0.39366100326496767,coffee,0,5
0.0,0.3142857142857143,0.065,0.5933857978246433,0.8596087284353612,0.5427649086786484,0.07715630027607044,mungbean,1,14
0.014285714285714285,0.8857142857142857,0.9800000000000001,0.38821089238693857,0.9346522199401773,0.3391115786440413,0.36586967884925187,apple,0,0
0.09999999999999999,0.9571428571428571,0.96,0.35677151986662453,0.9168216173462244,0.39738271688055404,0.36425638399341453,apple,0,0
0.20714285714285713,0.47857142857142854,0.095,0.3998577373533401,0.2615816571148562,0.5384498530527864,0.5112619005591762,pigeonpeas,0,18
0.12142857142857143,0.44285714285714284,0.065,0.6390409287262158,0.49247633276188885,0.3280809458512336,0.3912394405648631,pigeonpeas,1,18
0.06428571428571428,0.9857142857142857,0.96,0.4169892125734353,0.9173098696138785,0.3216197527349316,0.3497492241754036,apple,0,0
0.41428571428571426,0.4142857142857143,0.38,0.2999456051385952,0.005129016883916981,0.4688571206211225,0.21065820743202918,chickpea,0,3
0.20714285714285713,0.2571428571428572,0.07999999999999999,0.6472079229669869,0.5669181008261303,0.8354866985414833,0.15890743215772013,mothbeans,1,13
0.5142857142857142,0.2571428571428572,0.155,0.4273475215790968,0.7736954665406633,0.41781689391661525,0.5625461531141446,jute,0,8
0.18571428571428572,0.32142857142857145,0.07,0.5230534153275592,0.43648029110935704,0.38939596913413876,0.04385039410218261,mothbeans,1,13
0.5714285714285714,0.09285714285714285,0.23,0.5449315600635634,0.9048958669932529,0.4985316302626235,0.001458696172863705,muskmelon,1,15
0.0,0.4642857142857143,0.07999999999999999,0.790105653861563,0.4873605820833756,0.1818410056563995,0.29204657219820473,pigeonpeas,1,18
0.2571428571428571,0.44285714285714284,0.36,0.2570178741201275,0.06190301532433337,0.5681042739605009,0.21173092291092133,chickpea,0,3
0.42857142857142855,0.35714285714285715,0.195,0.3948144468697931,0.7940953554335972,0.6751509540709544,0.8756439370568083,rice,0,20
